Year,Units,Area,Sex,Regions,Value
2014,Percent,,,Ontustik Kazakhstan,27.4
2015,Percent,,,Ontustik Kazakhstan,26.6
2016,Percent,,,Ontustik Kazakhstan,25.6
2017,Percent,,,Ontustik Kazakhstan,29.2
2010,Percent,,,Pavlodar,39.1
2011,Percent,,,Pavlodar,36.5
2012,Percent,,,Pavlodar,38.1
2013,Percent,,,Pavlodar,45.9
2014,Percent,,,Pavlodar,42.2
2015,Percent,,,Pavlodar,48.6
2016,Percent,,,Pavlodar,44.6
2017,Percent,,,Pavlodar,50.0
2018,Percent,,,Pavlodar,58.5
2010,Percent,,,Soltustik Kazakhstan,27.2
2011,Percent,,,Soltustik Kazakhstan,30.0
2012,Percent,,,Soltustik Kazakhstan,31.3
2013,Percent,,,Soltustik Kazakhstan,30.2
2014,Percent,,,Soltustik Kazakhstan,40.7
2015,Percent,,,Soltustik Kazakhstan,37.7
2016,Percent,,,Soltustik Kazakhstan,35.3
2017,Percent,,,Soltustik Kazakhstan,42.1
2018,Percent,,,Soltustik Kazakhstan,50.0
2018,Percent,,,Turkistan,37.3
2010,Percent,,,Shygys Kazakhstan,25.7
2011,Percent,,,Shygys Kazakhstan,28.2
2012,Percent,,,Shygys Kazakhstan,32.4
2013,Percent,,,Shygys Kazakhstan,33.5
2014,Percent,,,Shygys Kazakhstan,37.2
2015,Percent,,,Shygys Kazakhstan,38.8
2016,Percent,,,Shygys Kazakhstan,39.9
2017,Percent,,,Shygys Kazakhstan,46.5
2018,Percent,,,Shygys Kazakhstan,50.7
2010,Percent,,,Nur-Sultan city,31.6
2011,Percent,,,Nur-Sultan city,23.3
2012,Percent,,,Nur-Sultan city,24.2
2013,Percent,,,Nur-Sultan city,23.4
2014,Percent,,,Nur-Sultan city,32.0
2015,Percent,,,Nur-Sultan city,32.4
2016,Percent,,,Nur-Sultan city,33.7
2017,Percent,,,Nur-Sultan city,34.6
2018,Percent,,,Nur-Sultan city,36.3
2010,Percent,,,Almaty city,18.7
2011,Percent,,,Almaty city,20.2
2012,Percent,,,Almaty city,18.7
2013,Percent,,,Almaty city,18.0
2014,Percent,,,Almaty city,16.9
2015,Percent,,,Almaty city,14.4
2016,Percent,,,Almaty city,26.3
2017,Percent,,,Almaty city,25.3
2018,Percent,,,Almaty city,25.9
2018,Percent,,,Shymkent city,28.6
2010,Percent,,Male,,23.6
2011,Percent,,Male,,26.0
2012,Percent,,Male,,28.1
2013,Percent,,Male,,28.4
2014,Percent,,Male,,33.6
2015,Percent,,Male,,34.5
2016,Percent,,Male,,35.8
2017,Percent,,Male,,38.4
2018,Percent,,Male,,42.0
2010,Percent,,Male,Akmola,26.7
2011,Percent,,Male,Akmola,29.5
2012,Percent,,Male,Akmola,33.9
2013,Percent,,Male,Akmola,34.0
2014,Percent,,Male,Akmola,37.2
2015,Percent,,Male,Akmola,45.4
2016,Percent,,Male,Akmola,43.0
2017,Percent,,Male,Akmola,42.0
2018,Percent,,Male,Akmola,44.5
2010,Percent,,Male,Aktobe,28.3
2011,Percent,,Male,Aktobe,38.1
2012,Percent,,Male,Aktobe,38.9
2013,Percent,,Male,Aktobe,41.8
2014,Percent,,Male,Aktobe,61.1
2015,Percent,,Male,Aktobe,49.6
2016,Percent,,Male,Aktobe,55.5
2017,Percent,,Male,Aktobe,54.6
2018,Percent,,Male,Aktobe,57.2
2010,Percent,,Male,Almaty,17.0
2011,Percent,,Male,Almaty,21.0
2012,Percent,,Male,Almaty,25.1
2013,Percent,,Male,Almaty,20.2
2014,Percent,,Male,Almaty,29.0
2015,Percent,,Male,Almaty,26.0
2016,Percent,,Male,Almaty,25.5
2017,Percent,,Male,Almaty,26.9
2018,Percent,,Male,Almaty,38.4
2010,Percent,,Male,Atyrau,31.3
2011,Percent,,Male,Atyrau,36.9
2012,Percent,,Male,Atyrau,29.7
2013,Percent,,Male,Atyrau,29.6
2014,Percent,,Male,Atyrau,32.1
2015,Percent,,Male,Atyrau,42.6
2016,Percent,,Male,Atyrau,34.1
2017,Percent,,Male,Atyrau,43.7
2018,Percent,,Male,Atyrau,34.9
2010,Percent,,Male,Batys Kazakhstan,23.9
2011,Percent,,Male,Batys Kazakhstan,27.1
2012,Percent,,Male,Batys Kazakhstan,44.3
2013,Percent,,Male,Batys Kazakhstan,49.0
2014,Percent,,Male,Batys Kazakhstan,36.5
2015,Percent,,Male,Batys Kazakhstan,39.0
2016,Percent,,Male,Batys Kazakhstan,42.8
2017,Percent,,Male,Batys Kazakhstan,47.2
2018,Percent,,Male,Batys Kazakhstan,52.9
2010,Percent,,Male,Zhambyl,21.1
2011,Percent,,Male,Zhambyl,25.0
2012,Percent,,Male,Zhambyl,23.5
2013,Percent,,Male,Zhambyl,38.5
2014,Percent,,Male,Zhambyl,23.1
2015,Percent,,Male,Zhambyl,27.0
2016,Percent,,Male,Zhambyl,31.3
2017,Percent,,Male,Zhambyl,26.0
2018,Percent,,Male,Zhambyl,33.6
2010,Percent,,Male,Karagandy,29.2
2011,Percent,,Male,Karagandy,29.3
2012,Percent,,Male,Karagandy,29.1
2013,Percent,,Male,Karagandy,28.0
2014,Percent,,Male,Karagandy,37.6
2015,Percent,,Male,Karagandy,37.2
2016,Percent,,Male,Karagandy,41.3
2017,Percent,,Male,Karagandy,44.6
2018,Percent,,Male,Karagandy,48.3
2010,Percent,,Male,Kostanay,29.0
2011,Percent,,Male,Kostanay,36.0
2012,Percent,,Male,Kostanay,38.3
2013,Percent,,Male,Kostanay,39.1
2014,Percent,,Male,Kostanay,39.6
2015,Percent,,Male,Kostanay,48.2
2016,Percent,,Male,Kostanay,47.4
2017,Percent,,Male,Kostanay,48.4
2018,Percent,,Male,Kostanay,54.2
2010,Percent,,Male,Kyzylorda,18.0
2011,Percent,,Male,Kyzylorda,19.6
2012,Percent,,Male,Kyzylorda,26.8
2013,Percent,,Male,Kyzylorda,25.6
2014,Percent,,Male,Kyzylorda,40.0
2015,Percent,,Male,Kyzylorda,40.6
2016,Percent,,Male,Kyzylorda,39.8
2017,Percent,,Male,Kyzylorda,44.8
2018,Percent,,Male,Kyzylorda,44.0
2010,Percent,,Male,Mangistau,43.7
2011,Percent,,Male,Mangistau,40.8
2012,Percent,,Male,Mangistau,43.7
2013,Percent,,Male,Mangistau,34.6
2014,Percent,,Male,Mangistau,48.6
2015,Percent,,Male,Mangistau,65.8
2016,Percent,,Male,Mangistau,64.8
2017,Percent,,Male,Mangistau,74.0
2018,Percent,,Male,Mangistau,69.2
2010,Percent,,Male,Ontustik Kazakhstan,13.0
2011,Percent,,Male,Ontustik Kazakhstan,13.1
2012,Percent,,Male,Ontustik Kazakhstan,15.9
2013,Percent,,Male,Ontustik Kazakhstan,14.9
2014,Percent,,Male,Ontustik Kazakhstan,27.1
2015,Percent,,Male,Ontustik Kazakhstan,25.7
2016,Percent,,Male,Ontustik Kazakhstan,23.1
2017,Percent,,Male,Ontustik Kazakhstan,29.1
2010,Percent,,Male,Pavlodar,37.4
2011,Percent,,Male,Pavlodar,38.3
2012,Percent,,Male,Pavlodar,39.1
2013,Percent,,Male,Pavlodar,47.1
2014,Percent,,Male,Pavlodar,43.9
2015,Percent,,Male,Pavlodar,53.7
2016,Percent,,Male,Pavlodar,45.5
2017,Percent,,Male,Pavlodar,53.7
2018,Percent,,Male,Pavlodar,61.6
2010,Percent,,Male,Soltustik Kazakhstan,25.3
2011,Percent,,Male,Soltustik Kazakhstan,31.0
2012,Percent,,Male,Soltustik Kazakhstan,38.2
2013,Percent,,Male,Soltustik Kazakhstan,30.8
2014,Percent,,Male,Soltustik Kazakhstan,42.9
2015,Percent,,Male,Soltustik Kazakhstan,40.6
2016,Percent,,Male,Soltustik Kazakhstan,37.0
2017,Percent,,Male,Soltustik Kazakhstan,42.4
2018,Percent,,Male,Soltustik Kazakhstan,50.2
2018,Percent,,Male,Turkistan,39.4
2010,Percent,,Male,Shygys Kazakhstan,24.5
2011,Percent,,Male,Shygys Kazakhstan,27.4
2012,Percent,,Male,Shygys Kazakhstan,33.4
2013,Percent,,Male,Shygys Kazakhstan,38.4
2014,Percent,,Male,Shygys Kazakhstan,39.6
2015,Percent,,Male,Shygys Kazakhstan,43.9
2016,Percent,,Male,Shygys Kazakhstan,40.9
2017,Percent,,Male,Shygys Kazakhstan,50.8
2018,Percent,,Male,Shygys Kazakhstan,53.0
2010,Percent,,Male,Nur-Sultan city,36.2
2011,Percent,,Male,Nur-Sultan city,23.6
2012,Percent,,Male,Nur-Sultan city,26.9
2013,Percent,,Male,Nur-Sultan city,24.3
2014,Percent,,Male,Nur-Sultan city,31.7
2015,Percent,,Male,Nur-Sultan city,32.5
2016,Percent,,Male,Nur-Sultan city,34.0
2017,Percent,,Male,Nur-Sultan city,35.5
2018,Percent,,Male,Nur-Sultan city,38.6
2010,Percent,,Male,Almaty city,21.1
2011,Percent,,Male,Almaty city,25.0
2012,Percent,,Male,Almaty city,17.5
2013,Percent,,Male,Almaty city,20.1
2014,Percent,,Male,Almaty city,18.6
2015,Percent,,Male,Almaty city,16.5
2016,Percent,,Male,Almaty city,29.8
2017,Percent,,Male,Almaty city,26.7
2018,Percent,,Male,Almaty city,27.8
2018,Percent,,Male,Shymkent city,25.3
2010,Percent,,Female,,23.1
2011,Percent,,Female,,23.9
2012,Percent,,Female,,27.4
2013,Percent,,Female,,26.3
2014,Percent,,Female,,31.0
2015,Percent,,Female,,30.2
2016,Percent,,Female,,33.0
2017,Percent,,Female,,34.4
2018,Percent,,Female,,37.7
2010,Percent,,Female,Akmola,28.1
2011,Percent,,Female,Akmola,30.6
2012,Percent,,Female,Akmola,34.7
2013,Percent,,Female,Akmola,31.5
2014,Percent,,Female,Akmola,35.1
2015,Percent,,Female,Akmola,38.1
2016,Percent,,Female,Akmola,42.2
2017,Percent,,Female,Akmola,41.7
2018,Percent,,Female,Akmola,40.2
2010,Percent,,Female,Aktobe,33.2
2011,Percent,,Female,Aktobe,30.5
2012,Percent,,Female,Aktobe,41.7
2013,Percent,,Female,Aktobe,32.0
2014,Percent,,Female,Aktobe,44.1
2015,Percent,,Female,Aktobe,42.9
2016,Percent,,Female,Aktobe,43.9
2017,Percent,,Female,Aktobe,41.5
2018,Percent,,Female,Aktobe,46.3
2010,Percent,,Female,Almaty,15.5
2011,Percent,,Female,Almaty,18.2
2012,Percent,,Female,Almaty,28.7
2013,Percent,,Female,Almaty,19.6
2014,Percent,,Female,Almaty,29.4
2015,Percent,,Female,Almaty,25.6
2016,Percent,,Female,Almaty,27.2
2017,Percent,,Female,Almaty,28.9
2018,Percent,,Female,Almaty,37.5
2010,Percent,,Female,Atyrau,34.8
2011,Percent,,Female,Atyrau,33.8
2012,Percent,,Female,Atyrau,23.4
2013,Percent,,Female,Atyrau,26.4
2014,Percent,,Female,Atyrau,28.2
2015,Percent,,Female,Atyrau,37.2
2016,Percent,,Female,Atyrau,29.4
2017,Percent,,Female,Atyrau,35.8
2018,Percent,,Female,Atyrau,32.7
2010,Percent,,Female,Batys Kazakhstan,27.1
2011,Percent,,Female,Batys Kazakhstan,30.9
2012,Percent,,Female,Batys Kazakhstan,38.0
2013,Percent,,Female,Batys Kazakhstan,45.2
2014,Percent,,Female,Batys Kazakhstan,33.0
2015,Percent,,Female,Batys Kazakhstan,36.1
2016,Percent,,Female,Batys Kazakhstan,36.4
2017,Percent,,Female,Batys Kazakhstan,43.8
2018,Percent,,Female,Batys Kazakhstan,47.8
2010,Percent,,Female,Zhambyl,16.4
2011,Percent,,Female,Zhambyl,19.4
2012,Percent,,Female,Zhambyl,24.8
2013,Percent,,Female,Zhambyl,36.7
2014,Percent,,Female,Zhambyl,24.1
2015,Percent,,Female,Zhambyl,24.0
2016,Percent,,Female,Zhambyl,31.4
2017,Percent,,Female,Zhambyl,23.7
2018,Percent,,Female,Zhambyl,27.8
2010,Percent,,Female,Karagandy,26.7
2011,Percent,,Female,Karagandy,27.7
2012,Percent,,Female,Karagandy,30.1
2013,Percent,,Female,Karagandy,24.5
2014,Percent,,Female,Karagandy,35.9
2015,Percent,,Female,Karagandy,29.3
2016,Percent,,Female,Karagandy,35.9
2017,Percent,,Female,Karagandy,38.8
2018,Percent,,Female,Karagandy,40.6
2010,Percent,,Female,Kostanay,25.2
2011,Percent,,Female,Kostanay,30.7
2012,Percent,,Female,Kostanay,37.4
2013,Percent,,Female,Kostanay,36.9
2014,Percent,,Female,Kostanay,38.3
2015,Percent,,Female,Kostanay,43.6
2016,Percent,,Female,Kostanay,39.5
2017,Percent,,Female,Kostanay,40.9
2018,Percent,,Female,Kostanay,47.9
2010,Percent,,Female,Kyzylorda,23.2
2011,Percent,,Female,Kyzylorda,28.0
2012,Percent,,Female,Kyzylorda,31.1
2013,Percent,,Female,Kyzylorda,28.8
2014,Percent,,Female,Kyzylorda,39.7
2015,Percent,,Female,Kyzylorda,38.2
2016,Percent,,Female,Kyzylorda,37.3
2017,Percent,,Female,Kyzylorda,41.2
2018,Percent,,Female,Kyzylorda,43.6
2010,Percent,,Female,Mangistau,41.1
2011,Percent,,Female,Mangistau,30.5
2012,Percent,,Female,Mangistau,25.8
2013,Percent,,Female,Mangistau,52.9
2014,Percent,,Female,Mangistau,38.9
2015,Percent,,Female,Mangistau,54.9
2016,Percent,,Female,Mangistau,52.8
2017,Percent,,Female,Mangistau,65.2
2018,Percent,,Female,Mangistau,64.8
2010,Percent,,Female,Ontustik Kazakhstan,10.7
2011,Percent,,Female,Ontustik Kazakhstan,12.5
2012,Percent,,Female,Ontustik Kazakhstan,18.0
2013,Percent,,Female,Ontustik Kazakhstan,14.5
2014,Percent,,Female,Ontustik Kazakhstan,27.8
2015,Percent,,Female,Ontustik Kazakhstan,27.7
2016,Percent,,Female,Ontustik Kazakhstan,29.1
2017,Percent,,Female,Ontustik Kazakhstan,29.4
2010,Percent,,Female,Pavlodar,40.9
2011,Percent,,Female,Pavlodar,34.5
2012,Percent,,Female,Pavlodar,36.9
2013,Percent,,Female,Pavlodar,44.1
2014,Percent,,Female,Pavlodar,40.4
2015,Percent,,Female,Pavlodar,42.8
2016,Percent,,Female,Pavlodar,43.6
2017,Percent,,Female,Pavlodar,45.6
2018,Percent,,Female,Pavlodar,55.5
2010,Percent,,Female,Soltustik Kazakhstan,29.5
2011,Percent,,Female,Soltustik Kazakhstan,28.9
2012,Percent,,Female,Soltustik Kazakhstan,24.3
2013,Percent,,Female,Soltustik Kazakhstan,29.6
2014,Percent,,Female,Soltustik Kazakhstan,37.7
2015,Percent,,Female,Soltustik Kazakhstan,34.1
2016,Percent,,Female,Soltustik Kazakhstan,33.1
2017,Percent,,Female,Soltustik Kazakhstan,41.8
2018,Percent,,Female,Soltustik Kazakhstan,49.7
2018,Percent,,Female,Turkistan,34.5
2010,Percent,,Female,Shygys Kazakhstan,27.1
2011,Percent,,Female,Shygys Kazakhstan,29.2
2012,Percent,,Female,Shygys Kazakhstan,31.1
2013,Percent,,Female,Shygys Kazakhstan,27.7
2014,Percent,,Female,Shygys Kazakhstan,34.1
2015,Percent,,Female,Shygys Kazakhstan,32.8
2016,Percent,,Female,Shygys Kazakhstan,38.7
2017,Percent,,Female,Shygys Kazakhstan,41.4
2018,Percent,,Female,Shygys Kazakhstan,47.9
2010,Percent,,Female,Nur-Sultan city,26.9
2011,Percent,,Female,Nur-Sultan city,23.1
2012,Percent,,Female,Nur-Sultan city,21.2
2013,Percent,,Female,Nur-Sultan city,16.7
2014,Percent,,Female,Nur-Sultan city,34.3
2015,Percent,,Female,Nur-Sultan city,31.9
2016,Percent,,Female,Nur-Sultan city,31.0
2017,Percent,,Female,Nur-Sultan city,28.0
2018,Percent,,Female,Nur-Sultan city,18.5
2010,Percent,,Female,Almaty city,16.2
2011,Percent,,Female,Almaty city,15.4
2012,Percent,,Female,Almaty city,19.8
2013,Percent,,Female,Almaty city,15.7
2014,Percent,,Female,Almaty city,14.9
2015,Percent,,Female,Almaty city,12.2
2016,Percent,,Female,Almaty city,22.2
2017,Percent,,Female,Almaty city,23.6
2018,Percent,,Female,Almaty city,23.9
2018,Percent,,Female,Shymkent city,32.2
2010,Percent,городская местность,,,28.3
2011,Percent,городская местность,,,29.1
2012,Percent,городская местность,,,30.6
2013,Percent,городская местность,,,29.3
2014,Percent,городская местность,,,32.7
2015,Percent,городская местность,,,32.7
2016,Percent,городская местность,,,35.6
2017,Percent,городская местность,,,37.5
2018,Percent,городская местность,,,38.4
2010,Percent,городская местность,,Akmola,32.4
2011,Percent,городская местность,,Akmola,36.9
2012,Percent,городская местность,,Akmola,45.0
2013,Percent,городская местность,,Akmola,43.3
2014,Percent,городская местность,,Akmola,40.4
2015,Percent,городская местность,,Akmola,44.0
2016,Percent,городская местность,,Akmola,46.7
2017,Percent,городская местность,,Akmola,44.6
2018,Percent,городская местность,,Akmola,41.1
2010,Percent,городская местность,,Aktobe,35.8
2011,Percent,городская местность,,Aktobe,35.7
2012,Percent,городская местность,,Aktobe,38.7
2013,Percent,городская местность,,Aktobe,33.0
2014,Percent,городская местность,,Aktobe,56.1
2015,Percent,городская местность,,Aktobe,47.3
2016,Percent,городская местность,,Aktobe,51.7
2017,Percent,городская местность,,Aktobe,47.5
2018,Percent,городская местность,,Aktobe,53.7
2010,Percent,городская местность,,Almaty,15.0
2011,Percent,городская местность,,Almaty,23.2
2012,Percent,городская местность,,Almaty,27.2
2013,Percent,городская местность,,Almaty,22.9
2014,Percent,городская местность,,Almaty,29.9
2015,Percent,городская местность,,Almaty,28.2
2016,Percent,городская местность,,Almaty,27.8
2017,Percent,городская местность,,Almaty,35.2
2018,Percent,городская местность,,Almaty,38.8
2010,Percent,городская местность,,Atyrau,38.0
2011,Percent,городская местность,,Atyrau,37.8
2012,Percent,городская местность,,Atyrau,27.3
2013,Percent,городская местность,,Atyrau,29.5
2014,Percent,городская местность,,Atyrau,30.5
2015,Percent,городская местность,,Atyrau,49.4
2016,Percent,городская местность,,Atyrau,34.9
2017,Percent,городская местность,,Atyrau,42.3
2018,Percent,городская местность,,Atyrau,35.7
2010,Percent,городская местность,,Batys Kazakhstan,33.8
2011,Percent,городская местность,,Batys Kazakhstan,35.1
2012,Percent,городская местность,,Batys Kazakhstan,44.7
2013,Percent,городская местность,,Batys Kazakhstan,42.8
2014,Percent,городская местность,,Batys Kazakhstan,35.7
2015,Percent,городская местность,,Batys Kazakhstan,40.1
2016,Percent,городская местность,,Batys Kazakhstan,41.5
2017,Percent,городская местность,,Batys Kazakhstan,38.8
2018,Percent,городская местность,,Batys Kazakhstan,44.3
2010,Percent,городская местность,,Zhambyl,33.9
2011,Percent,городская местность,,Zhambyl,35.4
2012,Percent,городская местность,,Zhambyl,25.4
2013,Percent,городская местность,,Zhambyl,42.2
2014,Percent,городская местность,,Zhambyl,23.8
2015,Percent,городская местность,,Zhambyl,29.1
2016,Percent,городская местность,,Zhambyl,41.1
2017,Percent,городская местность,,Zhambyl,31.0
2018,Percent,городская местность,,Zhambyl,33.5
2010,Percent,городская местность,,Karagandy,30.7
2011,Percent,городская местность,,Karagandy,30.0
2012,Percent,городская местность,,Karagandy,30.4
2013,Percent,городская местность,,Karagandy,26.7
2014,Percent,городская местность,,Karagandy,35.6
2015,Percent,городская местность,,Karagandy,31.8
2016,Percent,городская местность,,Karagandy,38.4
2017,Percent,городская местность,,Karagandy,42.4
2018,Percent,городская местность,,Karagandy,44.3
2010,Percent,городская местность,,Kostanay,27.7
2011,Percent,городская местность,,Kostanay,35.5
2012,Percent,городская местность,,Kostanay,41.8
2013,Percent,городская местность,,Kostanay,40.5
2014,Percent,городская местность,,Kostanay,41.4
2015,Percent,городская местность,,Kostanay,48.9
2016,Percent,городская местность,,Kostanay,45.4
2017,Percent,городская местность,,Kostanay,47.0
2018,Percent,городская местность,,Kostanay,54.8
2010,Percent,городская местность,,Kyzylorda,20.1
2011,Percent,городская местность,,Kyzylorda,23.9
2012,Percent,городская местность,,Kyzylorda,29.4
2013,Percent,городская местность,,Kyzylorda,31.8
2014,Percent,городская местность,,Kyzylorda,44.0
2015,Percent,городская местность,,Kyzylorda,33.7
2016,Percent,городская местность,,Kyzylorda,38.3
2017,Percent,городская местность,,Kyzylorda,43.8
2018,Percent,городская местность,,Kyzylorda,45.3
2010,Percent,городская местность,,Mangistau,46.3
2011,Percent,городская местность,,Mangistau,37.9
2012,Percent,городская местность,,Mangistau,38.7
2013,Percent,городская местность,,Mangistau,45.8
2014,Percent,городская местность,,Mangistau,39.3
2015,Percent,городская местность,,Mangistau,59.5
2016,Percent,городская местность,,Mangistau,55.5
2017,Percent,городская местность,,Mangistau,67.1
2018,Percent,городская местность,,Mangistau,60.9
2010,Percent,городская местность,,Ontustik Kazakhstan,18.8
2011,Percent,городская местность,,Ontustik Kazakhstan,19.1
2012,Percent,городская местность,,Ontustik Kazakhstan,26.6
2013,Percent,городская местность,,Ontustik Kazakhstan,24.0
2014,Percent,городская местность,,Ontustik Kazakhstan,28.9
2015,Percent,городская местность,,Ontustik Kazakhstan,32.5
2016,Percent,городская местность,,Ontustik Kazakhstan,25.4
2017,Percent,городская местность,,Ontustik Kazakhstan,28.6
2010,Percent,городская местность,,Pavlodar,41.2
2011,Percent,городская местность,,Pavlodar,43.5
2012,Percent,городская местность,,Pavlodar,42.9
2013,Percent,городская местность,,Pavlodar,48.6
2014,Percent,городская местность,,Pavlodar,45.8
2015,Percent,городская местность,,Pavlodar,52.8
2016,Percent,городская местность,,Pavlodar,46.9
2017,Percent,городская местность,,Pavlodar,50.4
2018,Percent,городская местность,,Pavlodar,59.7
2010,Percent,городская местность,,Soltustik Kazakhstan,29.8
2011,Percent,городская местность,,Soltustik Kazakhstan,39.7
2012,Percent,городская местность,,Soltustik Kazakhstan,41.0
2013,Percent,городская местность,,Soltustik Kazakhstan,40.0
2014,Percent,городская местность,,Soltustik Kazakhstan,42.1
2015,Percent,городская местность,,Soltustik Kazakhstan,38.9
2016,Percent,городская местность,,Soltustik Kazakhstan,31.2
2017,Percent,городская местность,,Soltustik Kazakhstan,45.6
2018,Percent,городская местность,,Soltustik Kazakhstan,54.3
2018,Percent,городская местность,,Turkistan,42.9
2010,Percent,городская местность,,Shygys Kazakhstan,32.9
2011,Percent,городская местность,,Shygys Kazakhstan,32.3
2012,Percent,городская местность,,Shygys Kazakhstan,36.9
2013,Percent,городская местность,,Shygys Kazakhstan,35.3
2014,Percent,городская местность,,Shygys Kazakhstan,37.1
2015,Percent,городская местность,,Shygys Kazakhstan,37.1
2016,Percent,городская местность,,Shygys Kazakhstan,38.2
2017,Percent,городская местность,,Shygys Kazakhstan,49.2
2018,Percent,городская местность,,Shygys Kazakhstan,53.2
2010,Percent,городская местность,,Nur-Sultan city,31.6
2011,Percent,городская местность,,Nur-Sultan city,23.3
2012,Percent,городская местность,,Nur-Sultan city,24.2
2013,Percent,городская местность,,Nur-Sultan city,18.0
2014,Percent,городская местность,,Nur-Sultan city,33.4
2015,Percent,городская местность,,Nur-Sultan city,34.1
2016,Percent,городская местность,,Nur-Sultan city,34.6
2017,Percent,городская местность,,Nur-Sultan city,32.7
2018,Percent,городская местность,,Nur-Sultan city,21.2
2010,Percent,городская местность,,Almaty city,18.7
2011,Percent,городская местность,,Almaty city,20.2
2012,Percent,городская местность,,Almaty city,18.7
2013,Percent,городская местность,,Almaty city,17.5
2014,Percent,городская местность,,Almaty city,15.6
2015,Percent,городская местность,,Almaty city,12.7
2016,Percent,городская местность,,Almaty city,25.3
2017,Percent,городская местность,,Almaty city,24.2
2018,Percent,городская местность,,Almaty city,24.7
2018,Percent,городская местность,,Shymkent city,26.9
2010,Percent,городская местность,Male,,30.7
2011,Percent,городская местность,Male,,32.0
2012,Percent,городская местность,Male,,32.4
2013,Percent,городская местность,Male,,31.2
2014,Percent,городская местность,Male,,34.8
