Year,Units,ТЖ келтірілген залал сомасы,Өңірлер,GeoCode,Value
2011,мың теңге,природного  характера,Шығыс Қазақстан,,108000.0
2012,мың теңге,природного  характера,Шығыс Қазақстан,,109300.0
2013,мың теңге,природного  характера,Шығыс Қазақстан,,52600.0
2014,мың теңге,природного  характера,Шығыс Қазақстан,,56600.0
2015,мың теңге,природного  характера,Шығыс Қазақстан,,220900.0
2016,мың теңге,природного  характера,Шығыс Қазақстан,,90300.0
2017,мың теңге,природного  характера,Шығыс Қазақстан,,107600.0
2018,мың теңге,природного  характера,Шығыс Қазақстан,,187480.0
2010,мың теңге,природного  характера,Нұр-Сұлтан қаласы,,0.0
2011,мың теңге,природного  характера,Нұр-Сұлтан қаласы,,0.0
2012,мың теңге,природного  характера,Нұр-Сұлтан қаласы,,0.0
2013,мың теңге,природного  характера,Нұр-Сұлтан қаласы,,0.0
2014,мың теңге,природного  характера,Нұр-Сұлтан қаласы,,0.0
2015,мың теңге,природного  характера,Нұр-Сұлтан қаласы,,4855.0
2016,мың теңге,природного  характера,Нұр-Сұлтан қаласы,,0.0
2017,мың теңге,природного  характера,Нұр-Сұлтан қаласы,,0.0
2018,мың теңге,природного  характера,Нұр-Сұлтан қаласы,,0.0
2010,мың теңге,природного  характера,Алматы қаласы,,0.0
2011,мың теңге,природного  характера,Алматы қаласы,,0.0
2012,мың теңге,природного  характера,Алматы қаласы,,0.0
2013,мың теңге,природного  характера,Алматы қаласы,,0.0
2014,мың теңге,природного  характера,Алматы қаласы,,0.0
2015,мың теңге,природного  характера,Алматы қаласы,,0.0
2016,мың теңге,природного  характера,Алматы қаласы,,0.0
2017,мың теңге,природного  характера,Алматы қаласы,,0.0
2018,мың теңге,природного  характера,Алматы қаласы,,0.0
2010,мың теңге,природного  характера,Шымкент қаласы,,0.0
2011,мың теңге,природного  характера,Шымкент қаласы,,0.0
2012,мың теңге,природного  характера,Шымкент қаласы,,0.0
2013,мың теңге,природного  характера,Шымкент қаласы,,0.0
2014,мың теңге,природного  характера,Шымкент қаласы,,501200.0
2015,мың теңге,природного  характера,Шымкент қаласы,,25000.0
2016,мың теңге,природного  характера,Шымкент қаласы,,0.0
2017,мың теңге,природного  характера,Шымкент қаласы,,0.0
2018,мың теңге,природного  характера,Шымкент қаласы,,0.0
2010,мың теңге,техногендік сипаттағы,,,8334944.7
2011,мың теңге,техногендік сипаттағы,,,949121.4
2012,мың теңге,техногендік сипаттағы,,,1484323.6
2013,мың теңге,техногендік сипаттағы,,,1238029.8
2014,мың теңге,техногендік сипаттағы,,,1255114.7
2015,мың теңге,техногендік сипаттағы,,,770695.8
2016,мың теңге,техногендік сипаттағы,,,973212.9
2017,мың теңге,техногендік сипаттағы,,,696058.7
2018,мың теңге,техногендік сипаттағы,,,1628287.1
2010,мың теңге,техногендік сипаттағы,Ақмола,,4504.8
2011,мың теңге,техногендік сипаттағы,Ақмола,,0.0
2012,мың теңге,техногендік сипаттағы,Ақмола,,57044.3
2013,мың теңге,техногендік сипаттағы,Ақмола,,25791.0
2014,мың теңге,техногендік сипаттағы,Ақмола,,0.0
2015,мың теңге,техногендік сипаттағы,Ақмола,,0.0
2016,мың теңге,техногендік сипаттағы,Ақмола,,0.0
2017,мың теңге,техногендік сипаттағы,Ақмола,,0.0
2018,мың теңге,техногендік сипаттағы,Ақмола,,338700.0
2010,мың теңге,техногендік сипаттағы,Ақтөбе,,0.0
2011,мың теңге,техногендік сипаттағы,Ақтөбе,,0.0
2012,мың теңге,техногендік сипаттағы,Ақтөбе,,0.0
2013,мың теңге,техногендік сипаттағы,Ақтөбе,,0.0
2014,мың теңге,техногендік сипаттағы,Ақтөбе,,0.0
2015,мың теңге,техногендік сипаттағы,Ақтөбе,,0.0
2016,мың теңге,техногендік сипаттағы,Ақтөбе,,134695.5
2017,мың теңге,техногендік сипаттағы,Ақтөбе,,0.0
2018,мың теңге,техногендік сипаттағы,Ақтөбе,,5971.0
2010,мың теңге,техногендік сипаттағы,Алматы,,7900000.0
2011,мың теңге,техногендік сипаттағы,Алматы,,367400.0
2012,мың теңге,техногендік сипаттағы,Алматы,,970900.0
2013,мың теңге,техногендік сипаттағы,Алматы,,927600.0
2014,мың теңге,техногендік сипаттағы,Алматы,,180100.0
2015,мың теңге,техногендік сипаттағы,Алматы,,130400.0
2016,мың теңге,техногендік сипаттағы,Алматы,,173300.0
2017,мың теңге,техногендік сипаттағы,Алматы,,180900.0
2018,мың теңге,техногендік сипаттағы,Алматы,,87905.0
2010,мың теңге,техногендік сипаттағы,Атырау,,0.0
2011,мың теңге,техногендік сипаттағы,Атырау,,0.0
2012,мың теңге,техногендік сипаттағы,Атырау,,0.0
2013,мың теңге,техногендік сипаттағы,Атырау,,0.0
2014,мың теңге,техногендік сипаттағы,Атырау,,17274.4
2015,мың теңге,техногендік сипаттағы,Атырау,,114069.8
2016,мың теңге,техногендік сипаттағы,Атырау,,145923.4
2017,мың теңге,техногендік сипаттағы,Атырау,,0.0
2018,мың теңге,техногендік сипаттағы,Атырау,,154154.3
2010,мың теңге,техногендік сипаттағы,Батыс Қазақстан,,382700.6
2011,мың теңге,техногендік сипаттағы,Батыс Қазақстан,,274747.9
2012,мың теңге,техногендік сипаттағы,Батыс Қазақстан,,407495.3
2013,мың теңге,техногендік сипаттағы,Батыс Қазақстан,,274838.8
2014,мың теңге,техногендік сипаттағы,Батыс Қазақстан,,328119.3
2015,мың теңге,техногендік сипаттағы,Батыс Қазақстан,,4000.0
2016,мың теңге,техногендік сипаттағы,Батыс Қазақстан,,0.0
2017,мың теңге,техногендік сипаттағы,Батыс Қазақстан,,26296.3
2018,мың теңге,техногендік сипаттағы,Батыс Қазақстан,,0.0
2010,мың теңге,техногендік сипаттағы,Жамбыл,,0.0
2011,мың теңге,техногендік сипаттағы,Жамбыл,,0.0
2012,мың теңге,техногендік сипаттағы,Жамбыл,,0.0
2013,мың теңге,техногендік сипаттағы,Жамбыл,,0.0
2014,мың теңге,техногендік сипаттағы,Жамбыл,,0.0
2015,мың теңге,техногендік сипаттағы,Жамбыл,,0.0
2016,мың теңге,техногендік сипаттағы,Жамбыл,,0.0
2017,мың теңге,техногендік сипаттағы,Жамбыл,,0.0
2018,мың теңге,техногендік сипаттағы,Жамбыл,,0.0
2010,мың теңге,техногендік сипаттағы,Қарағанды,,0.0
2011,мың теңге,техногендік сипаттағы,Қарағанды,,255073.5
2012,мың теңге,техногендік сипаттағы,Қарағанды,,14384.0
2013,мың теңге,техногендік сипаттағы,Қарағанды,,0.0
2014,мың теңге,техногендік сипаттағы,Қарағанды,,12828.0
2015,мың теңге,техногендік сипаттағы,Қарағанды,,0.0
2016,мың теңге,техногендік сипаттағы,Қарағанды,,0.0
2017,мың теңге,техногендік сипаттағы,Қарағанды,,1402.4
2018,мың теңге,техногендік сипаттағы,Қарағанды,,295446.5
2010,мың теңге,техногендік сипаттағы,Қостанай,,0.0
2011,мың теңге,техногендік сипаттағы,Қостанай,,0.0
2012,мың теңге,техногендік сипаттағы,Қостанай,,0.0
2013,мың теңге,техногендік сипаттағы,Қостанай,,0.0
2014,мың теңге,техногендік сипаттағы,Қостанай,,0.0
2015,мың теңге,техногендік сипаттағы,Қостанай,,0.0
2016,мың теңге,техногендік сипаттағы,Қостанай,,0.0
2017,мың теңге,техногендік сипаттағы,Қостанай,,0.0
2018,мың теңге,техногендік сипаттағы,Қостанай,,0.0
2010,мың теңге,техногендік сипаттағы,Қызылорда,,0.0
2011,мың теңге,техногендік сипаттағы,Қызылорда,,0.0
2012,мың теңге,техногендік сипаттағы,Қызылорда,,21500.0
2013,мың теңге,техногендік сипаттағы,Қызылорда,,7600.0
2014,мың теңге,техногендік сипаттағы,Қызылорда,,0.0
2015,мың теңге,техногендік сипаттағы,Қызылорда,,0.0
2016,мың теңге,техногендік сипаттағы,Қызылорда,,0.0
2017,мың теңге,техногендік сипаттағы,Қызылорда,,0.0
2018,мың теңге,техногендік сипаттағы,Қызылорда,,0.0
2010,мың теңге,техногендік сипаттағы,Маңғыстау,,17139.3
2011,мың теңге,техногендік сипаттағы,Маңғыстау,,0.0
2012,мың теңге,техногендік сипаттағы,Маңғыстау,,0.0
2013,мың теңге,техногендік сипаттағы,Маңғыстау,,0.0
2014,мың теңге,техногендік сипаттағы,Маңғыстау,,59980.0
2015,мың теңге,техногендік сипаттағы,Маңғыстау,,143826.0
2016,мың теңге,техногендік сипаттағы,Маңғыстау,,58310.0
2017,мың теңге,техногендік сипаттағы,Маңғыстау,,22205.0
2018,мың теңге,техногендік сипаттағы,Маңғыстау,,39400.0
2010,мың теңге,техногендік сипаттағы,Павлодар,,0.0
2011,мың теңге,техногендік сипаттағы,Павлодар,,0.0
2012,мың теңге,техногендік сипаттағы,Павлодар,,0.0
2013,мың теңге,техногендік сипаттағы,Павлодар,,0.0
2014,мың теңге,техногендік сипаттағы,Павлодар,,0.0
2015,мың теңге,техногендік сипаттағы,Павлодар,,0.0
2016,мың теңге,техногендік сипаттағы,Павлодар,,0.0
2017,мың теңге,техногендік сипаттағы,Павлодар,,0.0
2018,мың теңге,техногендік сипаттағы,Павлодар,,75620.3
2010,мың теңге,техногендік сипаттағы,Солтүстік Қазақстан,,0.0
2011,мың теңге,техногендік сипаттағы,Солтүстік Қазақстан,,0.0
2012,мың теңге,техногендік сипаттағы,Солтүстік Қазақстан,,0.0
2013,мың теңге,техногендік сипаттағы,Солтүстік Қазақстан,,0.0
2014,мың теңге,техногендік сипаттағы,Солтүстік Қазақстан,,118800.0
2015,мың теңге,техногендік сипаттағы,Солтүстік Қазақстан,,129600.0
2016,мың теңге,техногендік сипаттағы,Солтүстік Қазақстан,,103300.0
2017,мың теңге,техногендік сипаттағы,Солтүстік Қазақстан,,87200.0
2018,мың теңге,техногендік сипаттағы,Солтүстік Қазақстан,,101200.0
2010,мың теңге,техногендік сипаттағы,Түркістан,,0.0
2011,мың теңге,техногендік сипаттағы,Түркістан,,0.0
2012,мың теңге,техногендік сипаттағы,Түркістан,,0.0
2013,мың теңге,техногендік сипаттағы,Түркістан,,0.0
2014,мың теңге,техногендік сипаттағы,Түркістан,,0.0
2015,мың теңге,техногендік сипаттағы,Түркістан,,0.0
2016,мың теңге,техногендік сипаттағы,Түркістан,,0.0
2017,мың теңге,техногендік сипаттағы,Түркістан,,0.0
2018,мың теңге,техногендік сипаттағы,Түркістан,,0.0
2010,мың теңге,техногендік сипаттағы,Шығыс Қазақстан,,30600.0
2011,мың теңге,техногендік сипаттағы,Шығыс Қазақстан,,51900.0
2012,мың теңге,техногендік сипаттағы,Шығыс Қазақстан,,13000.0
2013,мың теңге,техногендік сипаттағы,Шығыс Қазақстан,,2200.0
2014,мың теңге,техногендік сипаттағы,Шығыс Қазақстан,,14300.0
2015,мың теңге,техногендік сипаттағы,Шығыс Қазақстан,,25100.0
2016,мың теңге,техногендік сипаттағы,Шығыс Қазақстан,,18900.0
2017,мың теңге,техногендік сипаттағы,Шығыс Қазақстан,,51500.0
2018,мың теңге,техногендік сипаттағы,Шығыс Қазақстан,,0.0
2010,мың теңге,техногендік сипаттағы,Нұр-Сұлтан қаласы,,0.0
2011,мың теңге,техногендік сипаттағы,Нұр-Сұлтан қаласы,,0.0
2012,мың теңге,техногендік сипаттағы,Нұр-Сұлтан қаласы,,0.0
2013,мың теңге,техногендік сипаттағы,Нұр-Сұлтан қаласы,,0.0
2014,мың теңге,техногендік сипаттағы,Нұр-Сұлтан қаласы,,0.0
2015,мың теңге,техногендік сипаттағы,Нұр-Сұлтан қаласы,,0.0
2016,мың теңге,техногендік сипаттағы,Нұр-Сұлтан қаласы,,0.0
2017,мың теңге,техногендік сипаттағы,Нұр-Сұлтан қаласы,,0.0
2018,мың теңге,техногендік сипаттағы,Нұр-Сұлтан қаласы,,0.0
2010,мың теңге,техногендік сипаттағы,Алматы қаласы,,0.0
2011,мың теңге,техногендік сипаттағы,Алматы қаласы,,0.0
2012,мың теңге,техногендік сипаттағы,Алматы қаласы,,0.0
2013,мың теңге,техногендік сипаттағы,Алматы қаласы,,0.0
2014,мың теңге,техногендік сипаттағы,Алматы қаласы,,125613.0
2015,мың теңге,техногендік сипаттағы,Алматы қаласы,,40000.0
2016,мың теңге,техногендік сипаттағы,Алматы қаласы,,107230.0
2017,мың теңге,техногендік сипаттағы,Алматы қаласы,,104120.0
2018,мың теңге,техногендік сипаттағы,Алматы қаласы,,175275.0
2010,мың теңге,техногендік сипаттағы,Шымкент қаласы,,0.0
2011,мың теңге,техногендік сипаттағы,Шымкент қаласы,,0.0
2012,мың теңге,техногендік сипаттағы,Шымкент қаласы,,0.0
2013,мың теңге,техногендік сипаттағы,Шымкент қаласы,,0.0
2014,мың теңге,техногендік сипаттағы,Шымкент қаласы,,398100.0
2015,мың теңге,техногендік сипаттағы,Шымкент қаласы,,183700.0
2016,мың теңге,техногендік сипаттағы,Шымкент қаласы,,231554.0
2017,мың теңге,техногендік сипаттағы,Шымкент қаласы,,222435.0
2018,мың теңге,техногендік сипаттағы,Шымкент қаласы,,354615.0
